Interactive Elements:
ID: mache-0 | Parent: none | Tag: div | Role: div | Text: "             " | Bounds: 0.0000,0.0000,1.0000,10.2299 | Path: div.logged-out.env-production
ID: mache-13 | Parent: mache-6 | Tag: div | Role: div | Text: " " | Bounds: 0.0417,0.0148,0.9417,0.0370 | Path: div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.HeaderMenu.js-header-menu
ID: mache-14 | Parent: mache-13 | Tag: div | Role: div | Text: "    " | Bounds: 0.0417,0.0148,0.9417,0.0370 | Path: header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.HeaderMenu.js-header-menu > div.HeaderMenu-wrapper.d-flex
ID: mache-15 | Parent: mache-14 | Tag: div | Role: div | Text: "PlatformAI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBu..." | Bounds: 0.0417,0.0148,0.3309,0.0370 | Path: div.HeaderMenu.js-header-menu > div.HeaderMenu-wrapper.d-flex > react-partial.loaded > div
ID: mache-16 | Parent: mache-15 | Tag: nav | Role: navigation | Text: "Global" | Bounds: 0.0417,0.0148,0.3309,0.0370 | Path: div.HeaderMenu-wrapper.d-flex > react-partial.loaded > div > nav.MarketingNavigation-module__nav__W0KYY
ID: mache-17 | Parent: mache-16 | Tag: ul | Role: ul | Text: "PlatformAI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBu..." | Bounds: 0.0417,0.0148,0.3309,0.0370 | Path: react-partial.loaded > div > nav.MarketingNavigation-module__nav__W0KYY > ul.MarketingNavigation-module__list__tFbMb
ID: mache-18 | Parent: mache-17 | Tag: div | Role: div | Text: "PlatformAI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBu..." | Bounds: 0.0417,0.0148,0.0524,0.0370 | Path: nav.MarketingNavigation-module__nav__W0KYY > ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container
ID: mache-19 | Parent: mache-18 | Tag: button | Role: button | Text: "Platform" | Bounds: 0.0417,0.0148,0.0524,0.0370 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > button.NavDropdown-module__button__PEHWX.js-details-target
ID: mache-20 | Parent: mache-18 | Tag: div | Role: div | Text: "AI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBuild and ..." | Bounds: 0.0445,0.0416,0.5575,0.3685 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd
ID: mache-21 | Parent: mache-20 | Tag: ul | Role: ul | Text: "AI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBuild and ..." | Bounds: 0.0445,0.0416,0.5575,0.3172 | Path: li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG
ID: mache-22 | Parent: mache-21 | Tag: div | Role: div | Text: "AI CODE CREATIONGitHub CopilotWrite better code with AIGitHub SparkBuild and ..." | Bounds: 0.0610,0.0709,0.1294,0.2585 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-23 | Parent: mache-22 | Tag: ul | Role: ul | Text: "GitHub CopilotWrite better code with AIGitHub SparkBuild and deploy intellige..." | Bounds: 0.0610,0.1094,0.1294,0.2200 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-24 | Parent: mache-23 | Tag: a | Role: link | Text: "GitHub CopilotWrite better code with AI" | Bounds: 0.0610,0.1094,0.1294,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-25 | Parent: mache-23 | Tag: a | Role: link | Text: "GitHub SparkBuild and deploy intelligent apps" | Bounds: 0.0610,0.1690,0.1294,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-26 | Parent: mache-23 | Tag: a | Role: link | Text: "GitHub ModelsManage and compare prompts" | Bounds: 0.0610,0.2286,0.1294,0.0412 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-27 | Parent: mache-23 | Tag: a | Role: link | Text: "MCP RegistryNewIntegrate external tools" | Bounds: 0.0610,0.2882,0.1294,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-28 | Parent: mache-21 | Tag: div | Role: div | Text: "DEVELOPER WORKFLOWSActionsAutomate any workflowCodespacesInstant dev environm..." | Bounds: 0.2110,0.0709,0.1056,0.2585 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-29 | Parent: mache-28 | Tag: ul | Role: ul | Text: "ActionsAutomate any workflowCodespacesInstant dev environmentsIssuesPlan and ..." | Bounds: 0.2110,0.1094,0.1056,0.2200 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-30 | Parent: mache-29 | Tag: a | Role: link | Text: "ActionsAutomate any workflow" | Bounds: 0.2110,0.1094,0.1056,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-31 | Parent: mache-29 | Tag: a | Role: link | Text: "CodespacesInstant dev environments" | Bounds: 0.2110,0.1690,0.1056,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-32 | Parent: mache-29 | Tag: a | Role: link | Text: "IssuesPlan and track work" | Bounds: 0.2110,0.2286,0.1056,0.0412 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-33 | Parent: mache-29 | Tag: a | Role: link | Text: "Code ReviewManage code changes" | Bounds: 0.2110,0.2882,0.1056,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-34 | Parent: mache-21 | Tag: div | Role: div | Text: "APPLICATION SECURITYGitHub Advanced SecurityFind and fix vulnerabilitiesCode ..." | Bounds: 0.3372,0.0709,0.1246,0.2585 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-35 | Parent: mache-34 | Tag: ul | Role: ul | Text: "GitHub Advanced SecurityFind and fix vulnerabilitiesCode securitySecure your ..." | Bounds: 0.3372,0.1094,0.1246,0.1604 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-36 | Parent: mache-35 | Tag: a | Role: link | Text: "GitHub Advanced SecurityFind and fix vulnerabilities" | Bounds: 0.3372,0.1094,0.1246,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-37 | Parent: mache-35 | Tag: a | Role: link | Text: "Code securitySecure your code as you build" | Bounds: 0.3372,0.1690,0.1246,0.0413 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-38 | Parent: mache-35 | Tag: a | Role: link | Text: "Secret protectionStop leaks before they start" | Bounds: 0.3372,0.2286,0.1246,0.0412 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-39 | Parent: mache-21 | Tag: div | Role: div | Text: "EXPLOREWhy GitHubDocumentationBlogChangelogMarketplace" | Bounds: 0.4824,0.0709,0.1031,0.2585 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN
ID: mache-40 | Parent: mache-39 | Tag: ul | Role: ul | Text: "Why GitHubDocumentationBlogChangelogMarketplace" | Bounds: 0.5035,0.1094,0.0820,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy
ID: mache-41 | Parent: mache-40 | Tag: a | Role: link | Text: "Why GitHub" | Bounds: 0.5035,0.1094,0.0820,0.0220 | Path: div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-42 | Parent: mache-40 | Tag: a | Role: link | Text: "Documentation" | Bounds: 0.5035,0.1498,0.0820,0.0220 | Path: div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-43 | Parent: mache-40 | Tag: a | Role: link | Text: "Blog" | Bounds: 0.5035,0.1901,0.0820,0.0220 | Path: div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-44 | Parent: mache-40 | Tag: a | Role: link | Text: "Changelog" | Bounds: 0.5035,0.2304,0.0820,0.0220 | Path: div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-45 | Parent: mache-40 | Tag: a | Role: link | Text: "Marketplace" | Bounds: 0.5035,0.2708,0.0820,0.0220 | Path: div.NavGroup-module__group__W8SqJ.NavGroup-module__hasSeparator__FnMrN > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-46 | Parent: mache-20 | Tag: div | Role: div | Text: "View all features" | Bounds: 0.0445,0.3588,0.5575,0.0513 | Path: li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > div
ID: mache-47 | Parent: mache-46 | Tag: a | Role: link | Text: "View all features" | Bounds: 0.0610,0.3734,0.5245,0.0220 | Path: div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > div > a.NavLink-module__link__EG3d4
ID: mache-48 | Parent: mache-17 | Tag: div | Role: div | Text: "SolutionsBY COMPANY SIZEEnterprisesSmall and medium teamsStartupsNonprofitsBY..." | Bounds: 0.0940,0.0148,0.0552,0.0370 | Path: nav.MarketingNavigation-module__nav__W0KYY > ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container
ID: mache-49 | Parent: mache-48 | Tag: button | Role: button | Text: "Solutions" | Bounds: 0.0940,0.0148,0.0552,0.0370 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > button.NavDropdown-module__button__PEHWX.js-details-target
ID: mache-50 | Parent: mache-48 | Tag: div | Role: div | Text: "BY COMPANY SIZEEnterprisesSmall and medium teamsStartupsNonprofitsBY USE CASE..." | Bounds: 0.0960,0.0416,0.3836,0.3318 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd
ID: mache-51 | Parent: mache-50 | Tag: ul | Role: ul | Text: "BY COMPANY SIZEEnterprisesSmall and medium teamsStartupsNonprofitsBY USE CASE..." | Bounds: 0.0960,0.0416,0.3836,0.2805 | Path: li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG
ID: mache-52 | Parent: mache-51 | Tag: div | Role: div | Text: "BY COMPANY SIZEEnterprisesSmall and medium teamsStartupsNonprofits" | Bounds: 0.1125,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-53 | Parent: mache-52 | Tag: ul | Role: ul | Text: "EnterprisesSmall and medium teamsStartupsNonprofits" | Bounds: 0.1125,0.1094,0.1031,0.1430 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-54 | Parent: mache-53 | Tag: a | Role: link | Text: "Enterprises" | Bounds: 0.1125,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-55 | Parent: mache-53 | Tag: a | Role: link | Text: "Small and medium teams" | Bounds: 0.1125,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-56 | Parent: mache-53 | Tag: a | Role: link | Text: "Startups" | Bounds: 0.1125,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-57 | Parent: mache-53 | Tag: a | Role: link | Text: "Nonprofits" | Bounds: 0.1125,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-58 | Parent: mache-51 | Tag: div | Role: div | Text: "BY USE CASEApp ModernizationDevSecOpsDevOpsCI/CDView all use cases" | Bounds: 0.2362,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-59 | Parent: mache-58 | Tag: ul | Role: ul | Text: "App ModernizationDevSecOpsDevOpsCI/CDView all use cases" | Bounds: 0.2362,0.1094,0.1031,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-60 | Parent: mache-59 | Tag: a | Role: link | Text: "App Modernization" | Bounds: 0.2362,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-61 | Parent: mache-59 | Tag: a | Role: link | Text: "DevSecOps" | Bounds: 0.2362,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-62 | Parent: mache-59 | Tag: a | Role: link | Text: "DevOps" | Bounds: 0.2362,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-63 | Parent: mache-59 | Tag: a | Role: link | Text: "CI/CD" | Bounds: 0.2362,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-64 | Parent: mache-59 | Tag: a | Role: link | Text: "View all use cases" | Bounds: 0.2362,0.2708,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-65 | Parent: mache-51 | Tag: div | Role: div | Text: "BY INDUSTRYHealthcareFinancial servicesManufacturingGovernmentView all indust..." | Bounds: 0.3600,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-66 | Parent: mache-65 | Tag: ul | Role: ul | Text: "HealthcareFinancial servicesManufacturingGovernmentView all industries" | Bounds: 0.3600,0.1094,0.1031,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-67 | Parent: mache-66 | Tag: a | Role: link | Text: "Healthcare" | Bounds: 0.3600,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-68 | Parent: mache-66 | Tag: a | Role: link | Text: "Financial services" | Bounds: 0.3600,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-69 | Parent: mache-66 | Tag: a | Role: link | Text: "Manufacturing" | Bounds: 0.3600,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-70 | Parent: mache-66 | Tag: a | Role: link | Text: "Government" | Bounds: 0.3600,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-71 | Parent: mache-66 | Tag: a | Role: link | Text: "View all industries" | Bounds: 0.3600,0.2708,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-72 | Parent: mache-50 | Tag: div | Role: div | Text: "View all solutions" | Bounds: 0.0960,0.3221,0.3836,0.0513 | Path: li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > div
ID: mache-73 | Parent: mache-72 | Tag: a | Role: link | Text: "View all solutions" | Bounds: 0.1125,0.3368,0.3506,0.0220 | Path: div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > div > a.NavLink-module__link__EG3d4
ID: mache-74 | Parent: mache-17 | Tag: div | Role: div | Text: "ResourcesEXPLORE BY TOPICAISoftware DevelopmentDevOpsSecurityView all topicsE..." | Bounds: 0.1493,0.0148,0.0599,0.0370 | Path: nav.MarketingNavigation-module__nav__W0KYY > ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container
ID: mache-75 | Parent: mache-74 | Tag: button | Role: button | Text: "Resources" | Bounds: 0.1493,0.0148,0.0599,0.0370 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > button.NavDropdown-module__button__PEHWX.js-details-target
ID: mache-76 | Parent: mache-74 | Tag: div | Role: div | Text: "EXPLORE BY TOPICAISoftware DevelopmentDevOpsSecurityView all topicsEXPLORE BY..." | Bounds: 0.1512,0.0416,0.3836,0.3318 | Path: ul.MarketingNavigation-module__list__tFbMb > li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd
ID: mache-77 | Parent: mache-76 | Tag: ul | Role: ul | Text: "EXPLORE BY TOPICAISoftware DevelopmentDevOpsSecurityView all topicsEXPLORE BY..." | Bounds: 0.1512,0.0416,0.3836,0.2805 | Path: li > div.NavDropdown-module__container__l2YeI.js-details-container > div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG
ID: mache-78 | Parent: mache-77 | Tag: div | Role: div | Text: "EXPLORE BY TOPICAISoftware DevelopmentDevOpsSecurityView all topics" | Bounds: 0.1677,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-79 | Parent: mache-78 | Tag: ul | Role: ul | Text: "AISoftware DevelopmentDevOpsSecurityView all topics" | Bounds: 0.1677,0.1094,0.1031,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-80 | Parent: mache-79 | Tag: a | Role: link | Text: "AI" | Bounds: 0.1677,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-81 | Parent: mache-79 | Tag: a | Role: link | Text: "Software Development" | Bounds: 0.1677,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-82 | Parent: mache-79 | Tag: a | Role: link | Text: "DevOps" | Bounds: 0.1677,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-83 | Parent: mache-79 | Tag: a | Role: link | Text: "Security" | Bounds: 0.1677,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-84 | Parent: mache-79 | Tag: a | Role: link | Text: "View all topics" | Bounds: 0.1677,0.2708,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-85 | Parent: mache-77 | Tag: div | Role: div | Text: "EXPLORE BY TYPECustomer storiesEvents & webinarsEbooks & reportsBusiness insi..." | Bounds: 0.2914,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-86 | Parent: mache-85 | Tag: ul | Role: ul | Text: "Customer storiesEvents & webinarsEbooks & reportsBusiness insightsGitHub Skills" | Bounds: 0.2914,0.1094,0.1031,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-87 | Parent: mache-86 | Tag: a | Role: link | Text: "Customer stories" | Bounds: 0.2914,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-88 | Parent: mache-86 | Tag: a | Role: link | Text: "Events & webinars" | Bounds: 0.2914,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-89 | Parent: mache-86 | Tag: a | Role: link | Text: "Ebooks & reports" | Bounds: 0.2914,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-90 | Parent: mache-86 | Tag: a | Role: link | Text: "Business insights" | Bounds: 0.2914,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-91 | Parent: mache-86 | Tag: a | Role: link | Text: "GitHub Skills" | Bounds: 0.2914,0.2708,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-92 | Parent: mache-77 | Tag: div | Role: div | Text: "SUPPORT & SERVICESDocumentationCustomer supportCommunity forumTrust centerPar..." | Bounds: 0.4152,0.0709,0.1031,0.2218 | Path: div.NavDropdown-module__dropdown__xm1jd > ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ
ID: mache-93 | Parent: mache-92 | Tag: ul | Role: ul | Text: "DocumentationCustomer supportCommunity forumTrust centerPartners" | Bounds: 0.4152,0.1094,0.1031,0.1833 | Path: ul.NavDropdown-module__list__zuCgG > li > div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy
ID: mache-94 | Parent: mache-93 | Tag: a | Role: link | Text: "Documentation" | Bounds: 0.4152,0.1094,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-95 | Parent: mache-93 | Tag: a | Role: link | Text: "Customer support" | Bounds: 0.4152,0.1498,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-96 | Parent: mache-93 | Tag: a | Role: link | Text: "Community forum" | Bounds: 0.4152,0.1901,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
ID: mache-97 | Parent: mache-93 | Tag: a | Role: link | Text: "Trust center" | Bounds: 0.4152,0.2304,0.1031,0.0220 | Path: div.NavGroup-module__group__W8SqJ > ul.NavGroup-module__list__UCOFy > li > a.NavLink-module__link__EG3d4
