Interactive Elements:
ID: mache-0 | Parent: none | Tag: header | Role: banner | Text: "   " | Bounds: 0.2500,0.0148,0.5000,0.0259 | Path: header
ID: mache-21 | Parent: mache-16 | Tag: a | Role: link | Text: "samkhawase.com" | Bounds: 0.4148,0.0600,0.0662,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-22 | Parent: mache-16 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.0806,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-23 | Parent: mache-22 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.0825,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-24 | Parent: mache-23 | Tag: img | Role: img | Text: "FlyingSnake avatar" | Bounds: 0.2687,0.0842,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-25 | Parent: mache-22 | Tag: a | Role: link | Text: "FlyingSnake" | Bounds: 0.3274,0.0825,0.0454,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-26 | Parent: mache-22 | Tag: label | Role: label | Text: "caches" | Bounds: 0.4259,0.0825,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-27 | Parent: mache-22 | Tag: a | Role: heading | Text: "5 comments" | Bounds: 0.4591,0.0825,0.0463,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-28 | Parent: mache-16 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-29 | Parent: mache-16 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-30 | Parent: mache-29 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-31 | Parent: mache-29 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-32 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-33 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.1058,0.4927,0.0539 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-34 | Parent: mache-33 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.1095,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-35 | Parent: mache-34 | Tag: a | Role: link | Text: "62" | Bounds: 0.2553,0.1095,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-36 | Parent: mache-33 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.1095,0.4760,0.0465 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-37 | Parent: mache-36 | Tag: a | Role: link | Text: "Niri v26.04" | Bounds: 0.2687,0.1140,0.0412,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-38 | Parent: mache-36 | Tag: a | Role: link | Text: "linux" | Bounds: 0.3137,0.1158,0.0168,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_linux
ID: mache-39 | Parent: mache-36 | Tag: a | Role: link | Text: "release" | Bounds: 0.3342,0.1158,0.0230,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_release
ID: mache-40 | Parent: mache-36 | Tag: a | Role: link | Text: "rust" | Bounds: 0.3608,0.1158,0.0148,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_rust
ID: mache-41 | Parent: mache-36 | Tag: a | Role: link | Text: "github.com/niri-wm" | Bounds: 0.3800,0.1140,0.0727,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-42 | Parent: mache-36 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.1345,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-43 | Parent: mache-42 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.1364,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-44 | Parent: mache-43 | Tag: img | Role: img | Text: "ana_glz avatar" | Bounds: 0.2687,0.1381,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-45 | Parent: mache-42 | Tag: a | Role: link | Text: "ana_glz" | Bounds: 0.2933,0.1364,0.0284,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-46 | Parent: mache-42 | Tag: label | Role: label | Text: "caches" | Bounds: 0.3747,0.1364,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-47 | Parent: mache-42 | Tag: a | Role: heading | Text: "6 comments" | Bounds: 0.4079,0.1364,0.0463,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-48 | Parent: mache-36 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-49 | Parent: mache-36 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-50 | Parent: mache-49 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-51 | Parent: mache-49 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-52 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-53 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.1597,0.4927,0.0539 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-54 | Parent: mache-53 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.1634,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-55 | Parent: mache-54 | Tag: a | Role: link | Text: "40" | Bounds: 0.2553,0.1634,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-56 | Parent: mache-53 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.1634,0.4760,0.0465 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-57 | Parent: mache-56 | Tag: a | Role: link | Text: "Wasm is not quite a stack machine" | Bounds: 0.2687,0.1679,0.1382,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-58 | Parent: mache-56 | Tag: a | Role: link | Text: "plt" | Bounds: 0.4107,0.1698,0.0117,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_plt
ID: mache-59 | Parent: mache-56 | Tag: a | Role: link | Text: "wasm" | Bounds: 0.4260,0.1698,0.0200,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_wasm
ID: mache-60 | Parent: mache-56 | Tag: a | Role: link | Text: "purplesyringa.moe" | Bounds: 0.4504,0.1679,0.0687,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-61 | Parent: mache-56 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.1885,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-62 | Parent: mache-61 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.1903,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-63 | Parent: mache-62 | Tag: img | Role: img | Text: "LesleyLai avatar" | Bounds: 0.2687,0.1920,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-64 | Parent: mache-61 | Tag: a | Role: link | Text: "LesleyLai" | Bounds: 0.2933,0.1903,0.0347,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-65 | Parent: mache-61 | Tag: label | Role: label | Text: "caches" | Bounds: 0.3857,0.1903,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-66 | Parent: mache-61 | Tag: a | Role: heading | Text: "17 comments" | Bounds: 0.4189,0.1903,0.0510,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-67 | Parent: mache-56 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-68 | Parent: mache-56 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-69 | Parent: mache-68 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-70 | Parent: mache-68 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-71 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-72 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.2137,0.4927,0.0766 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-73 | Parent: mache-72 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.2174,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-74 | Parent: mache-73 | Tag: a | Role: link | Text: "43" | Bounds: 0.2553,0.2174,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-75 | Parent: mache-72 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.2174,0.4760,0.0692 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-76 | Parent: mache-75 | Tag: a | Role: link | Text: "From Milliseconds to 26 Nanoseconds: How a $20 eBay SFP Module Beat My Entire..." | Bounds: 0.2687,0.2218,0.3750,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-77 | Parent: mache-75 | Tag: a | Role: link | Text: "hardware" | Bounds: 0.6475,0.2237,0.0283,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_hardware
ID: mache-78 | Parent: mache-75 | Tag: a | Role: link | Text: "austinsnerdythings.com" | Bounds: 0.2687,0.2445,0.0880,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-79 | Parent: mache-75 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.2650,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-80 | Parent: mache-79 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.2669,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-81 | Parent: mache-80 | Tag: img | Role: img | Text: "varesa avatar" | Bounds: 0.2687,0.2686,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-82 | Parent: mache-79 | Tag: a | Role: link | Text: "varesa" | Bounds: 0.2933,0.2669,0.0244,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-83 | Parent: mache-79 | Tag: label | Role: label | Text: "caches" | Bounds: 0.3754,0.2669,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-84 | Parent: mache-79 | Tag: a | Role: heading | Text: "4 comments" | Bounds: 0.4086,0.2669,0.0463,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-85 | Parent: mache-75 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-86 | Parent: mache-75 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-87 | Parent: mache-86 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-88 | Parent: mache-86 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-89 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-90 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.2902,0.4927,0.0539 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-91 | Parent: mache-90 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.2939,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-92 | Parent: mache-91 | Tag: a | Role: link | Text: "90" | Bounds: 0.2553,0.2939,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-93 | Parent: mache-90 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.2939,0.4760,0.0465 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-94 | Parent: mache-93 | Tag: a | Role: link | Text: "Lua can be a really cool HTML templating engine" | Bounds: 0.2687,0.2984,0.1936,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-95 | Parent: mache-93 | Tag: a | Role: link | Text: "lua" | Bounds: 0.4661,0.3003,0.0127,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_lua
ID: mache-96 | Parent: mache-93 | Tag: a | Role: link | Text: "web" | Bounds: 0.4824,0.3003,0.0158,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_web
ID: mache-97 | Parent: mache-93 | Tag: a | Role: link | Text: "riki.house" | Bounds: 0.5027,0.2984,0.0353,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-98 | Parent: mache-93 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.3190,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-99 | Parent: mache-98 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.3208,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-100 | Parent: mache-99 | Tag: img | Role: img | Text: "riki avatar" | Bounds: 0.2687,0.3226,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-101 | Parent: mache-98 | Tag: a | Role: link | Text: "riki" | Bounds: 0.3274,0.3208,0.0108,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-102 | Parent: mache-98 | Tag: label | Role: label | Text: "caches" | Bounds: 0.3959,0.3208,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-103 | Parent: mache-98 | Tag: a | Role: heading | Text: "57 comments" | Bounds: 0.4291,0.3208,0.0510,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-104 | Parent: mache-93 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-105 | Parent: mache-93 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-106 | Parent: mache-105 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-107 | Parent: mache-105 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-108 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-109 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.3442,0.4927,0.0766 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-110 | Parent: mache-109 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.3479,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-111 | Parent: mache-110 | Tag: a | Role: link | Text: "8" | Bounds: 0.2562,0.3479,0.0074,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-112 | Parent: mache-109 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.3479,0.4760,0.0692 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-113 | Parent: mache-112 | Tag: a | Role: link | Text: "I won my FOIA against Twelve South to open up the electrical information for ..." | Bounds: 0.2687,0.3524,0.3793,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-114 | Parent: mache-112 | Tag: a | Role: link | Text: "pdf" | Bounds: 0.6517,0.3542,0.0136,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_pdf
ID: mache-115 | Parent: mache-112 | Tag: a | Role: link | Text: "hardware" | Bounds: 0.6690,0.3542,0.0283,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_hardware
ID: mache-116 | Parent: mache-112 | Tag: a | Role: link | Text: "reversing" | Bounds: 0.7009,0.3542,0.0278,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_reversing
ID: mache-117 | Parent: mache-112 | Tag: a | Role: link | Text: "archive.org" | Bounds: 0.2687,0.3750,0.0408,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-118 | Parent: mache-112 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.3956,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-119 | Parent: mache-118 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.3974,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-120 | Parent: mache-119 | Tag: img | Role: img | Text: "reesericci avatar" | Bounds: 0.2687,0.3991,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-121 | Parent: mache-118 | Tag: a | Role: link | Text: "reesericci" | Bounds: 0.3274,0.3974,0.0356,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-122 | Parent: mache-118 | Tag: label | Role: label | Text: "caches" | Bounds: 0.4161,0.3974,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-123 | Parent: mache-118 | Tag: a | Role: heading | Text: "1 comment" | Bounds: 0.4493,0.3974,0.0422,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-124 | Parent: mache-112 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-125 | Parent: mache-112 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-126 | Parent: mache-125 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-127 | Parent: mache-125 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-128 | Parent: mache-12 | Tag: a | Role: link | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div > ol.stories.list > li.story > a.mobile_comments
ID: mache-129 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.4207,0.4927,0.0539 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-130 | Parent: mache-129 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.4245,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-131 | Parent: mache-130 | Tag: a | Role: link | Text: "47" | Bounds: 0.2553,0.4245,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-132 | Parent: mache-129 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.4245,0.4760,0.0465 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-133 | Parent: mache-132 | Tag: a | Role: link | Text: "Smolwebifying my site" | Bounds: 0.2687,0.4289,0.0891,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-134 | Parent: mache-132 | Tag: a | Role: link | Text: "web" | Bounds: 0.3616,0.4308,0.0158,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_web
ID: mache-135 | Parent: mache-132 | Tag: a | Role: link | Text: "akselmo.dev" | Bounds: 0.3818,0.4289,0.0463,0.0167 | Path: li.story > div.story_liner.h-entry > div.details > a.domain
ID: mache-136 | Parent: mache-132 | Tag: div | Role: div | Text: "       " | Bounds: 0.2687,0.4495,0.4760,0.0215 | Path: li.story > div.story_liner.h-entry > div.details > div.byline
ID: mache-137 | Parent: mache-136 | Tag: a | Role: link | Text: "" | Bounds: 0.2687,0.4513,0.0094,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a
ID: mache-138 | Parent: mache-137 | Tag: img | Role: img | Text: "Aks avatar" | Bounds: 0.2687,0.4531,0.0083,0.0148 | Path: div.details > div.byline > a > img.avatar
ID: mache-139 | Parent: mache-136 | Tag: a | Role: link | Text: "Aks" | Bounds: 0.3274,0.4513,0.0139,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > a.u-author.h-card
ID: mache-140 | Parent: mache-136 | Tag: label | Role: label | Text: "caches" | Bounds: 0.3990,0.4513,0.0267,0.0167 | Path: div.story_liner.h-entry > div.details > div.byline > label.caches
ID: mache-141 | Parent: mache-136 | Tag: a | Role: heading | Text: "27 comments" | Bounds: 0.4322,0.4513,0.0510,0.0167 | Path: div.details > div.byline > span.comments_label > a
ID: mache-142 | Parent: mache-132 | Tag: input | Role: textbox | Text: "checkbox" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > input.caches_button
ID: mache-143 | Parent: mache-132 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: li.story > div.story_liner.h-entry > div.details > div.caches-dropdown
ID: mache-144 | Parent: mache-143 | Tag: a | Role: link | Text: "Archive.org" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
ID: mache-145 | Parent: mache-143 | Tag: a | Role: link | Text: "Ghostarchive" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.story_liner.h-entry > div.details > div.caches-dropdown > a
