Interactive Elements:
ID: mache-0 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0796,0.0093,0.0104,0.0185 | Path: tbody > tr > td > a
ID: mache-32 | Parent: none | Tag: a | Role: link | Text: "Networking changes coming in macOS 27" | Bounds: 0.0972,0.1375,0.1456,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-33 | Parent: none | Tag: a | Role: link | Text: "eclecticlight.co" | Bounds: 0.2473,0.1394,0.0410,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-34 | Parent: none | Tag: a | Role: link | Text: "pvtmert" | Bounds: 0.1323,0.1537,0.0194,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-35 | Parent: none | Tag: a | Role: link | Text: "4 hours ago" | Bounds: 0.1535,0.1537,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-36 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1882,0.1537,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-37 | Parent: none | Tag: a | Role: link | Text: "118 comments" | Bounds: 0.2042,0.1537,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-38 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.1713,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-39 | Parent: none | Tag: a | Role: link | Text: "China blocks Meta's acquisition of AI startup Manus" | Bounds: 0.0972,0.1699,0.1798,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-40 | Parent: none | Tag: a | Role: link | Text: "cnbc.com" | Bounds: 0.2815,0.1718,0.0264,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-41 | Parent: none | Tag: a | Role: link | Text: "yakkomajuri" | Bounds: 0.1323,0.1861,0.0302,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-42 | Parent: none | Tag: a | Role: link | Text: "2 hours ago" | Bounds: 0.1642,0.1861,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-43 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1989,0.1861,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-44 | Parent: none | Tag: a | Role: link | Text: "61 comments" | Bounds: 0.2149,0.1861,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-45 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.2037,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-46 | Parent: none | Tag: a | Role: link | Text: "Super ZSNES – GPU Powered SNES Emulator" | Bounds: 0.0972,0.2023,0.1582,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-47 | Parent: none | Tag: a | Role: link | Text: "zsnes.com" | Bounds: 0.2598,0.2042,0.0292,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-48 | Parent: none | Tag: a | Role: link | Text: "haunter" | Bounds: 0.1323,0.2185,0.0190,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-49 | Parent: none | Tag: a | Role: link | Text: "2 hours ago" | Bounds: 0.1531,0.2185,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-50 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1878,0.2185,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-51 | Parent: none | Tag: a | Role: link | Text: "25 comments" | Bounds: 0.2038,0.2185,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-52 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.2361,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-53 | Parent: none | Tag: a | Role: link | Text: "The woes of sanitizing SVGs" | Bounds: 0.0972,0.2347,0.0984,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-54 | Parent: none | Tag: a | Role: link | Text: "muffin.ink" | Bounds: 0.2000,0.2366,0.0282,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-55 | Parent: none | Tag: a | Role: link | Text: "varun_ch" | Bounds: 0.1323,0.2509,0.0226,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-56 | Parent: none | Tag: a | Role: link | Text: "4 hours ago" | Bounds: 0.1566,0.2509,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-57 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1914,0.2509,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-58 | Parent: none | Tag: a | Role: link | Text: "51 comments" | Bounds: 0.2074,0.2509,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-59 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.2685,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-60 | Parent: none | Tag: a | Role: link | Text: "The Quiet Resurgence of RF Engineering" | Bounds: 0.0972,0.2671,0.1408,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-61 | Parent: none | Tag: a | Role: link | Text: "atempleton.bearblog.dev" | Bounds: 0.2424,0.2690,0.0700,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-62 | Parent: none | Tag: a | Role: link | Text: "merlinq" | Bounds: 0.1292,0.2833,0.0185,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-63 | Parent: none | Tag: a | Role: link | Text: "3 hours ago" | Bounds: 0.1494,0.2833,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-64 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1841,0.2833,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-65 | Parent: none | Tag: a | Role: link | Text: "14 comments" | Bounds: 0.2001,0.2833,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-66 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.3009,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-67 | Parent: none | Tag: a | Role: link | Text: "4TB of voice samples just stolen from 40k AI contractors at Mercor" | Bounds: 0.0972,0.2995,0.2343,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-68 | Parent: none | Tag: a | Role: link | Text: "oravys.com" | Bounds: 0.3359,0.3014,0.0321,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-69 | Parent: none | Tag: a | Role: link | Text: "Oravys" | Bounds: 0.1323,0.3157,0.0170,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-70 | Parent: none | Tag: a | Role: link | Text: "10 hours ago" | Bounds: 0.1510,0.3157,0.0322,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-71 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1888,0.3157,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-72 | Parent: none | Tag: a | Role: link | Text: "134 comments" | Bounds: 0.2048,0.3157,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-73 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.3333,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-74 | Parent: none | Tag: a | Role: link | Text: "Magic by Return of Post: How Mail Order Delivered the Occult" | Bounds: 0.0972,0.3319,0.2151,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-75 | Parent: none | Tag: a | Role: link | Text: "publicdomainreview.org" | Bounds: 0.3167,0.3338,0.0663,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-76 | Parent: none | Tag: a | Role: link | Text: "Vigier" | Bounds: 0.1292,0.3481,0.0140,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-77 | Parent: none | Tag: a | Role: link | Text: "2 hours ago" | Bounds: 0.1449,0.3481,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-78 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1797,0.3481,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-79 | Parent: none | Tag: a | Role: link | Text: "3 comments" | Bounds: 0.1956,0.3481,0.0302,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-80 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.3657,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-81 | Parent: none | Tag: a | Role: link | Text: "Spanish archaeologists discover trove of ancient shipwrecks in Bay of Gibraltar" | Bounds: 0.0972,0.3644,0.2755,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-82 | Parent: none | Tag: a | Role: link | Text: "theguardian.com" | Bounds: 0.3771,0.3662,0.0472,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-83 | Parent: none | Tag: a | Role: link | Text: "1659447091" | Bounds: 0.1292,0.3806,0.0309,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-84 | Parent: none | Tag: a | Role: link | Text: "1 hour ago" | Bounds: 0.1618,0.3806,0.0266,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-85 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1940,0.3806,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-86 | Parent: none | Tag: a | Role: link | Text: "discuss" | Bounds: 0.2100,0.3806,0.0176,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-87 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.3981,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-88 | Parent: none | Tag: a | Role: link | Text: "Men who stare at walls" | Bounds: 0.0972,0.3968,0.0802,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-89 | Parent: none | Tag: a | Role: link | Text: "alexselimov.com" | Bounds: 0.1818,0.3986,0.0459,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-90 | Parent: none | Tag: a | Role: link | Text: "aselimov3" | Bounds: 0.1323,0.4130,0.0246,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-91 | Parent: none | Tag: a | Role: link | Text: "9 hours ago" | Bounds: 0.1586,0.4130,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-92 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1934,0.4130,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-93 | Parent: none | Tag: a | Role: link | Text: "167 comments" | Bounds: 0.2094,0.4130,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-94 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.4306,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-95 | Parent: none | Tag: a | Role: link | Text: "GitHub Copilot is moving to usage-based billing" | Bounds: 0.0972,0.4292,0.1659,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-96 | Parent: none | Tag: a | Role: link | Text: "github.blog" | Bounds: 0.2676,0.4310,0.0314,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-97 | Parent: none | Tag: a | Role: link | Text: "frizlab" | Bounds: 0.1323,0.4454,0.0149,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-98 | Parent: none | Tag: a | Role: link | Text: "4 hours ago" | Bounds: 0.1490,0.4454,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-99 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1837,0.4454,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-100 | Parent: none | Tag: a | Role: link | Text: "307 comments" | Bounds: 0.1997,0.4454,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-101 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.4630,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-102 | Parent: none | Tag: a | Role: link | Text: "Show HN: OSS Agent I built topped the TerminalBench on Gemini-3-flash-preview" | Bounds: 0.0972,0.4616,0.2875,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-103 | Parent: none | Tag: a | Role: link | Text: "github.com/dirac-run" | Bounds: 0.3892,0.4634,0.0592,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-104 | Parent: none | Tag: a | Role: link | Text: "GodelNumbering" | Bounds: 0.1323,0.4778,0.0408,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-105 | Parent: none | Tag: a | Role: link | Text: "7 hours ago" | Bounds: 0.1749,0.4778,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-106 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.2096,0.4778,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-107 | Parent: none | Tag: a | Role: link | Text: "100 comments" | Bounds: 0.2256,0.4778,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-108 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.4954,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-109 | Parent: none | Tag: a | Role: link | Text: "United Wizards of the Coast" | Bounds: 0.0972,0.4940,0.0973,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-110 | Parent: none | Tag: a | Role: link | Text: "unitedwizardsofthecoast.com" | Bounds: 0.1990,0.4958,0.0812,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-111 | Parent: none | Tag: a | Role: link | Text: "d4mi3n" | Bounds: 0.1323,0.5102,0.0183,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-112 | Parent: none | Tag: a | Role: link | Text: "1 hour ago" | Bounds: 0.1524,0.5102,0.0266,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-113 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1846,0.5102,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-114 | Parent: none | Tag: a | Role: link | Text: "106 comments" | Bounds: 0.2005,0.5102,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-115 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.5278,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-116 | Parent: none | Tag: a | Role: link | Text: "Pgbackrest is no longer being maintained" | Bounds: 0.0972,0.5264,0.1444,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-117 | Parent: none | Tag: a | Role: link | Text: "github.com/pgbackrest" | Bounds: 0.2461,0.5282,0.0645,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-118 | Parent: none | Tag: a | Role: link | Text: "c0l0" | Bounds: 0.1323,0.5426,0.0101,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-119 | Parent: none | Tag: a | Role: link | Text: "9 hours ago" | Bounds: 0.1441,0.5426,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-120 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1788,0.5426,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-121 | Parent: none | Tag: a | Role: link | Text: "190 comments" | Bounds: 0.1948,0.5426,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-122 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.5602,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-123 | Parent: none | Tag: a | Role: link | Text: "Adding a team was the wrong strategic decision" | Bounds: 0.0972,0.5588,0.1675,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-124 | Parent: none | Tag: a | Role: link | Text: "aleixmorgadas.dev" | Bounds: 0.2692,0.5606,0.0527,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-125 | Parent: none | Tag: a | Role: link | Text: "milkglass" | Bounds: 0.1292,0.5750,0.0226,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-126 | Parent: none | Tag: a | Role: link | Text: "4 hours ago" | Bounds: 0.1535,0.5750,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-127 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1883,0.5750,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-128 | Parent: none | Tag: a | Role: link | Text: "15 comments" | Bounds: 0.2043,0.5750,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-129 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.5926,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-130 | Parent: none | Tag: a | Role: link | Text: "Decoupled DiLoCo: Resilient, Distributed AI Training at Scale" | Bounds: 0.0972,0.5912,0.2120,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-131 | Parent: none | Tag: a | Role: link | Text: "deepmind.google" | Bounds: 0.3137,0.5931,0.0479,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-132 | Parent: none | Tag: a | Role: link | Text: "metadat" | Bounds: 0.1292,0.6074,0.0203,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-133 | Parent: none | Tag: a | Role: link | Text: "3 hours ago" | Bounds: 0.1513,0.6074,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-134 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1860,0.6074,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-135 | Parent: none | Tag: a | Role: link | Text: "3 comments" | Bounds: 0.2020,0.6074,0.0302,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-136 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.6250,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-137 | Parent: none | Tag: a | Role: link | Text: "US Supreme Court reviews police use of cell location data" | Bounds: 0.0972,0.6236,0.2020,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-138 | Parent: none | Tag: a | Role: link | Text: "nytimes.com" | Bounds: 0.3036,0.6255,0.0357,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-139 | Parent: none | Tag: a | Role: link | Text: "unethical_ban" | Bounds: 0.1323,0.6398,0.0343,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-140 | Parent: none | Tag: a | Role: link | Text: "4 hours ago" | Bounds: 0.1683,0.6398,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-141 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.2030,0.6398,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-142 | Parent: none | Tag: a | Role: link | Text: "107 comments" | Bounds: 0.2190,0.6398,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-143 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.6574,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-144 | Parent: none | Tag: a | Role: link | Text: "Fully Featured Audio DSP Firmware for the Raspberry Pi Pico" | Bounds: 0.0972,0.6560,0.2114,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-145 | Parent: none | Tag: a | Role: link | Text: "github.com/weeblabs" | Bounds: 0.3131,0.6579,0.0596,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-146 | Parent: none | Tag: a | Role: link | Text: "BoingBoomTschak" | Bounds: 0.1323,0.6722,0.0442,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-147 | Parent: none | Tag: a | Role: link | Text: "10 hours ago" | Bounds: 0.1782,0.6722,0.0322,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-148 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.2160,0.6722,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-149 | Parent: none | Tag: a | Role: link | Text: "58 comments" | Bounds: 0.2320,0.6722,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-150 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.6898,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-151 | Parent: none | Tag: a | Role: link | Text: "U.S. companies back Sam Altman's World ID even as much of the world pushes back" | Bounds: 0.0972,0.6884,0.2977,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-152 | Parent: none | Tag: a | Role: link | Text: "restofworld.org" | Bounds: 0.3994,0.6903,0.0426,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-153 | Parent: none | Tag: a | Role: link | Text: "kelnos" | Bounds: 0.1292,0.7046,0.0156,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-154 | Parent: none | Tag: a | Role: link | Text: "50 minutes ago" | Bounds: 0.1465,0.7046,0.0380,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-155 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1902,0.7046,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-156 | Parent: none | Tag: a | Role: link | Text: "9 comments" | Bounds: 0.2062,0.7046,0.0302,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-157 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.7222,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-158 | Parent: none | Tag: a | Role: link | Text: "FDA approves first gene therapy for treatment of genetic hearing loss" | Bounds: 0.0972,0.7208,0.2435,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
